timestamp,rule,strength,gain_dry,gain_fx_1,gain_fx_2,gain_fx_3,gain_fx_4,gain_full_mix,dry_valence,dry_arousal,fx_1_valence,fx_1_arousal,fx_2_valence,fx_2_arousal,fx_3_valence,fx_3_arousal,fx_4_valence,fx_4_arousal,full_mix_valence,full_mix_arousal,stress,attention,footpedal
13:30:26.6493,low_stress_low_attention,1.0,20,0,0,0,0,20,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:27.2712,low_stress_low_attention,1.0,36,0,0,0,0,36,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:27.8855,low_stress_low_attention,1.0,49,0,0,0,0,49,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:28.4999,low_stress_low_attention,1.0,59,0,0,0,0,59,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:29.1010,low_stress_low_attention,1.0,67,0,0,0,0,67,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:29.7178,low_stress_low_attention,1.0,74,0,0,0,0,74,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:30.3373,low_stress_low_attention,1.0,79,0,0,0,0,79,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:30.9664,low_stress_low_attention,1.0,83,0,0,0,0,83,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,-0.034,0.061,0,0,127
13:30:31.6018,low_stress_low_attention,1.0,86,0,0,14,10,86,-0.027,0.062,-0.019,0.061,-0.033,0.063,-0.031,0.062,-0.028,0.057,-0.025,0.061,0,0,127
13:30:32.2195,low_stress_low_attention,1.0,89,21,0,34,23,89,0.188,0.169,0.135,0.147,-0.079,-0.075,0.16,0.142,0.068,0.076,0.267,0.215,0,0,127
13:30:32.8523,low_stress_low_attention,1.0,91,17,7,51,18,91,0.145,-0.014,0.089,0.347,-0.106,-0.114,0.167,-0.018,0.073,0.03,0.18,0.042,0,0,127
13:30:33.4699,low_stress_low_attention,1.0,93,14,6,62,14,93,0.164,0.02,0.188,0.335,-0.143,-0.2,0.138,-0.032,0.112,0.067,0.214,0.078,0,0,127
13:30:34.1028,low_stress_low_attention,1.0,94,11,5,71,11,94,0.158,0.051,0.232,0.32,-0.118,-0.193,0.145,-0.009,0.126,0.052,0.173,0.07,0,0,127
13:30:34.7196,low_stress_low_attention,1.0,95,9,4,80,9,95,0.132,0.026,0.167,0.317,-0.121,-0.202,0.147,0.003,0.102,0.039,0.161,0.063,0,0,127
13:30:35.3512,low_stress_low_attention,1.0,96,7,3,88,7,96,0.128,0.017,0.128,0.319,-0.152,-0.219,0.13,-0.004,0.1,0.03,0.145,0.034,0,0,127
13:30:35.9858,low_stress_low_attention,1.0,97,6,2,94,28,97,0.146,0.038,0.2,0.319,-0.169,-0.238,0.131,0.012,0.091,0.025,0.151,0.03,0,0,127
13:30:36.6055,low_stress_low_attention,1.0,98,5,3,100,22,98,0.101,-0.043,0.203,0.355,-0.197,-0.279,0.104,-0.05,0.088,0.026,0.11,-0.012,0,0,127
13:30:37.2356,low_stress_low_attention,1.0,98,4,2,104,18,98,0.124,-0.015,0.199,0.364,-0.175,-0.283,0.114,-0.032,0.13,0.03,0.094,-0.019,0,0,127
13:30:37.8708,low_stress_low_attention,1.0,98,3,6,83,14,98,0.102,-0.042,0.22,0.384,-0.182,-0.278,0.147,0.037,0.107,-0.008,0.121,-0.007,0,0,127
13:30:38.4996,low_stress_low_attention,1.0,98,2,5,66,33,98,0.144,0.02,0.148,0.316,-0.195,-0.281,0.161,0.063,0.095,-0.025,0.133,0.027,0,0,127
13:30:39.1363,low_stress_low_attention,1.0,98,2,4,53,26,98,0.127,-0.018,0.144,0.335,-0.187,-0.293,0.14,0.028,0.12,-0.013,0.124,0.04,0,0,127
13:30:39.7542,low_stress_low_attention,1.0,98,2,3,42,45,98,0.128,0.019,0.147,0.313,-0.194,-0.282,0.152,0.045,0.137,0.007,0.132,0.055,0,0,127
13:30:40.3846,low_stress_low_attention,1.0,98,2,2,34,36,98,0.161,0.033,0.102,0.237,-0.2,-0.292,0.161,0.035,0.156,0.07,0.14,0.045,0,0,127
13:30:41.0055,low_stress_low_attention,1.0,98,2,2,52,29,98,0.14,0.003,0.107,0.266,-0.188,-0.275,0.157,-0.002,0.129,0.021,0.143,0.063,0,0,127
13:30:41.6371,low_stress_low_attention,1.0,98,2,2,42,23,98,0.121,-0.011,0.109,0.242,-0.171,-0.253,0.156,0.021,0.159,0.075,0.164,0.094,0,0,127
13:30:42.2683,low_stress_low_attention,1.0,98,2,2,34,18,98,0.142,0.025,0.112,0.251,-0.188,-0.246,0.168,0.063,0.111,0.042,0.162,0.083,0,0,127
13:30:42.9006,low_stress_low_attention,1.0,98,2,2,52,14,98,0.129,0.018,0.093,0.235,-0.181,-0.234,0.13,0.001,0.118,0.076,0.151,0.085,0,0,127
13:30:43.5158,low_stress_low_attention,1.0,98,2,2,65,11,98,0.073,0.0,0.115,0.244,-0.151,-0.149,0.099,-0.003,0.123,0.134,0.126,0.09,0,0,127
